U+00A0   
U+00A9  ©
U+00B7  ·
U+2013  –
U+2014  —
U+201C  “
U+201D  ”
U+2022  •
U+2192  →
U+2605  ★
U+3001  、
U+3002  。
U+30A2  ア
U+30A4  イ
U+30A6  ウ
U+30A8  エ
U+30AA  オ
U+30AB  カ
U+30AD  キ
U+30AF  ク
U+30B1  ケ
U+30B3  コ
U+4E00  一
U+4E09  三
U+4E0A  上
U+4E0B  下
U+4E0D  不
U+4E0E  与
U+4E11  丑
U+4E13  专
U+4E16  世
U+4E1A  业
U+4E24  两
U+4E2A  个
U+4E2D  中
U+4E32  串
U+4E3A  为
U+4E3B  主
U+4E3D  丽
U+4E48  么
U+4E49  义
U+4E4B  之
U+4E4E  乎
U+4E50  乐
U+4E5D  九
U+4E5F  也
U+4E60  习
U+4E66  书
U+4E71  乱
U+4E86  了
U+4E8B  事
U+4E8E  于
U+4E92  互
U+4E9B  些
U+4EA4  交
U+4EAE  亮
U+4EB2  亲
U+4EBA  人
U+4EC0  什
U+4EC5  仅
U+4ECA  今
U+4ECB  介
U+4ECD  仍
U+4ECE  从
U+4EE3  代
U+4EE4  令
U+4EE5  以
U+4EEC  们
U+4EF6  件
U+4EFB  任
U+4EFD  份
U+4F0D  伍
U+4F11  休
U+4F18  优
U+4F1A  会
U+4F2A  伪
U+4F34  伴
U+4F46  但
U+4F4D  位
U+4F4F  住
U+4F53  体
U+4F5C  作
U+4F60  你
U+4F73  佳
U+4F7F  使
U+4F9B  供
U+4F9D  依
U+4FB5  侵
U+4FBF  便
U+4FC3  促
U+4FD7  俗
U+4FDD  保
U+4FE1  信
U+501F  借
U+503C  值
U+504F  偏
U+505A  做
U+5076  偶
U+50CF  像
U+5143  元
U+5148  先
U+5149  光
U+514D  免
U+5165  入
U+5168  全
U+5170  兰
U+5173  关
U+5176  其
U+5177  具
U+5178  典
U+517B  养
U+517D  兽
U+5185  内
U+518C  册
U+518D  再
U+5192  冒
U+51B2  冲
U+51B3  决
U+51B7  冷
U+51E0  几
U+51F6  凶
U+51FA  出
U+51FB  击
U+5206  分
U+5207  切
U+5217  列
U+5219  则
U+521B  创
U+521D  初
U+5224  判
U+5229  利
U+522B  别
U+5230  到
U+5236  制
U+523B  刻
U+524D  前
U+5265  剥
U+5267  剧
U+5272  割
U+529B  力
U+52A0  加
U+52A1  务
U+52A8  动
U+52A9  助
U+52D2  勒
U+5305  包
U+5316  化
U+533A  区
U+5341  十
U+5347  升
U+534E  华
U+5355  单
U+535A  博
U+5361  卡
U+5370  印
U+5373  即
U+5374  却
U+5377  卷
U+5382  厂
U+5386  历
U+538B  压
U+539F  原
U+53BB  去
U+53CA  及
U+53CB  友
U+53CD  反
U+53D1  发
U+53D6  取
U+53D7  受
U+53D8  变
U+53E3  口
U+53E4  古
U+53E5  句
U+53EA  只
U+53EC  召
U+53EF  可
U+53F3  右
U+5403  吃
U+5404  各
U+5408  合
U+540C  同
U+540D  名
U+540E  后
U+5411  向
U+5426  否
U+542B  含
U+542F  启
U+5435  吵
U+5439  吹
U+543B  吻
U+5446  呆
U+5458  员
U+547D  命
U+548C  和
U+54C1  品
U+54CD  响
U+54E5  哥
U+5524  唤
U+5546  商
U+559C  喜
U+5634  嘴
U+5668  器
U+566A  噪
U+56DB  四
U+56DE  回
U+56E0  因
U+56E2  团
U+56FD  国
U+56FE  图
U+5706  圆
U+5723  圣
U+5728  在
U+5730  地
U+573A  场
